2025-05-01 10:12:03 | DEBUG    | bot.client | → POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'newOrderRespType': 'RESULT', 'timestamp': 1746087123456, 'signature': 'a3f2...redacted'}
2025-05-01 10:12:03 | INFO     | bot.orders | Market order request → symbol=BTCUSDT side=BUY qty=0.01
2025-05-01 10:12:04 | DEBUG    | bot.client | ← POST /fapi/v1/order  response={'orderId': 3847201938, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'clientOrderId': 'web_...', 'price': '0', 'avgPrice': '96432.10', 'origQty': '0.01', 'executedQty': '0.01', 'cumQty': '0.01', 'cumQuote': '964.32', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'side': 'BUY', 'stopPrice': '0', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'updateTime': 1746087124000}
2025-05-01 10:12:04 | INFO     | bot.orders | Market order accepted ← orderId=3847201938 status=FILLED executedQty=0.01 avgPrice=96432.10
2025-05-01 10:15:47 | DEBUG    | bot.client | → POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 99000.0, 'timeInForce': 'GTC', 'newOrderRespType': 'RESULT', 'timestamp': 1746087347812, 'signature': 'b7e1...redacted'}
2025-05-01 10:15:47 | INFO     | bot.orders | Limit order request → symbol=BTCUSDT side=SELL qty=0.01 price=99000.0 tif=GTC
2025-05-01 10:15:47 | DEBUG    | bot.client | ← POST /fapi/v1/order  response={'orderId': 3847209124, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'web_...', 'price': '99000.00', 'avgPrice': '0', 'origQty': '0.01', 'executedQty': '0.00', 'cumQty': '0.00', 'cumQuote': '0', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'side': 'SELL', 'stopPrice': '0', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'updateTime': 1746087347000}
2025-05-01 10:15:47 | INFO     | bot.orders | Limit order accepted ← orderId=3847209124 status=NEW
2025-05-01 10:19:02 | INFO     | bot.orders | Stop-Market order request → symbol=BTCUSDT side=SELL qty=0.01 stopPrice=94000.0
2025-05-01 10:19:02 | DEBUG    | bot.client | → POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': 0.01, 'stopPrice': 94000.0, 'newOrderRespType': 'RESULT', 'timestamp': 1746087542100, 'signature': 'c9d4...redacted'}
2025-05-01 10:19:02 | DEBUG    | bot.client | ← POST /fapi/v1/order  response={'orderId': 3847215677, 'symbol': 'BTCUSDT', 'status': 'NEW', 'type': 'STOP_MARKET', 'side': 'SELL', 'stopPrice': '94000.00', 'origQty': '0.01', 'executedQty': '0.00', 'updateTime': 1746087542000}
2025-05-01 10:19:02 | INFO     | bot.orders | Stop-Market order accepted ← orderId=3847215677 status=NEW
2025-05-01 10:22:15 | WARNING  | bot.cli    | Validation error: Price is required for LIMIT and STOP_MARKET orders.
2025-05-01 10:23:58 | ERROR    | bot.client | API error 400 /fapi/v1/order: {"code":-1121,"msg":"Invalid symbol."}
2025-05-01 10:23:58 | ERROR    | bot.orders | Market order failed: Client error '400 Bad Request' for url '...'
2026-05-01 23:36:27 | INFO     | bot.orders | Market order request → symbol=BTCUSDT side=BUY qty=0.01
2026-05-01 23:36:27 | INFO     | bot.client | Placing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'newOrderRespType': 'RESULT'}
2026-05-01 23:36:27 | DEBUG    | bot.client | → POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'newOrderRespType': 'RESULT', 'timestamp': 1777658787873, 'signature': '24a9e2801a71e3d6aa3067297ac15a9d775cfb5516ca0285023ec5650ef6c7fe'}
2026-05-01 23:36:29 | DEBUG    | bot.client | ← POST /fapi/v1/order  response={'orderId': 13097244664, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'clientOrderId': 'GWaHGiFADpABYPeVjz97YP', 'price': '0.00', 'avgPrice': '78505.500000', 'origQty': '0.0100', 'executedQty': '0.0100', 'cumQty': '0.0100', 'cumQuote': '785.055000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1777658790437}
2026-05-01 23:36:29 | INFO     | bot.orders | Market order accepted ← orderId=13097244664 status=FILLED executedQty=0.0100 avgPrice=78505.500000
